# Writting to the csv file.,,,,,,,,,,,
,AlexNet Score,AlexNet Alt,,ResNet Score,ResNet Alt,,DenseNet Score,DenseNet Alt,,,
From./output/alexnet/images/train/,,,,,,,,,,Average AlexNet Score,1.012409192
COCO_train2014_000000003713.jpg,1.001532037,0.998470306,,1.037097406,0.964229584,,1.022003899,0.978469849,,,
COCO_train2014_000000003729.jpg,1.020639067,0.97977829,,1.017564698,0.982738495,,1.033010596,0.968044281,,,
COCO_train2014_000000003782.jpg,1.014826916,0.985389709,,1.016881827,0.983398438,,1.029857313,0.971008301,,,
COCO_train2014_000000003860.jpg,1.003687098,0.996326447,,1.018216847,0.98210907,,1.060191458,0.943225861,,,
COCO_train2014_000000003870.jpg,1.00037398,0.99962616,,1.03120636,0.969738007,,1.021132055,0.979305267,,,
COCO_train2014_000000003877.jpg,1.030326851,0.970565796,,1.012064752,0.988079071,,1.030310653,0.970581055,,,
COCO_train2014_000000003911.jpg,1.029275035,0.971557617,,1.184788799,0.844032288,,1.051385302,0.951126099,,,
COCO_train2014_000000003915.jpg,1.004498601,0.995521545,,1.055997551,0.946971893,,1.039276553,0.962207794,,,
COCO_train2014_000000003917.jpg,1.029602485,0.971248627,,1.00829269,0.991775513,,1.072738359,0.932193756,,,
COCO_train2014_000000003992.jpg,1.002723462,0.997283936,,1.017134343,0.983154297,,1.008288812,0.991779327,,,
COCO_train2014_000000004057.jpg,1.015593583,0.984645844,,1.039919708,0.961612701,,1.036785673,0.964519501,,,
COCO_train2014_000000004065.jpg,1.003698627,0.996315002,,1.006125551,0.993911743,,1.029667192,0.971187592,,,
COCO_train2014_000000004140.jpg,1.012705955,0.987453461,,1.05009654,0.952293396,,1.07204083,0.932800293,,,
COCO_train2014_000000004180.jpg,1.012400891,0.987751007,,1.028616721,0.972179413,,1.059857119,0.943523407,,,
COCO_train2014_000000004331.jpg,1.01464623,0.985565186,,1.028064066,0.972702026,,1.104019878,0.905780792,,,
COCO_train2014_000000004385.jpg,1.010757497,0.989356995,,1.091234541,0.91639328,,1.038531325,0.962898254,,,
COCO_train2014_000000004421.jpg,1.014041793,0.986152649,,1.051895783,0.95066452,,1.027947156,0.972812653,,,
COCO_train2014_000000004463.jpg,1.0000763,0.999923706,,1.058953747,0.944328308,,1.005018498,0.995006561,,,
COCO_train2014_000000004488.jpg,1.013634008,0.986549377,,1.27438722,0.784690857,,1.0233604,0.977172852,,,
COCO_train2014_000000004578.jpg,1,1,,1.029182093,0.971645355,,1.033222316,0.967845917,,,
COCO_train2014_000000004587.jpg,1.022079608,0.978397369,,1.077310013,0.928237915,,1.073797352,0.931274414,,,
COCO_train2014_000000004595.jpg,1.016286544,0.983974457,,1.028984142,0.971832275,,1.015416557,0.984817505,,,
COCO_train2014_000000004616.jpg,1.017908454,0.982406616,,1.013128655,0.987041473,,1.001501427,0.998500824,,,
COCO_train2014_000000004622.jpg,1.008447843,0.991622925,,1.030177038,0.97070694,,1.029533744,0.971313477,,,
COCO_train2014_000000004662.jpg,1.000759701,0.999240875,,1.054667761,0.948165894,,1.026160549,0.974506378,,,
COCO_train2014_000000004684.jpg,1.010812061,0.989303589,,1.135078026,0.880996704,,1.079403772,0.926437378,,,
COCO_train2014_000000004694.jpg,1.017477808,0.982822418,,1.119230802,0.893470764,,1.027053076,0.973659515,,,
COCO_train2014_000000004714.jpg,1.009302039,0.990783691,,1.020647015,0.97977066,,1.119541496,0.893222809,,,
COCO_train2014_000000004761.jpg,1.011545348,0.988586426,,1.217479344,0.821369171,,1.094830395,0.913383484,,,
COCO_train2014_000000004794.jpg,1.016404757,0.983860016,,1.030586089,0.970321655,,1.035851599,0.965389252,,,
COCO_train2014_000000004820.jpg,1.030395698,0.970500946,,1.034862009,0.966312408,,1.220063204,0.819629669,,,
COCO_train2014_000000004823.jpg,1,1,,1.024940864,0.975666046,,1.076270595,0.929134369,,,
COCO_train2014_000000004830.jpg,1.005265156,0.994762421,,1.023532214,0.97700882,,1.107564907,0.902881622,,,
COCO_train2014_000000004968.jpg,1.014826916,0.985389709,,1.105719588,0.904388428,,1.10638226,0.903846741,,,
COCO_train2014_000000005011.jpg,1.006558233,0.993484497,,1.018517511,0.981819153,,1.057147351,0.945941925,,,
COCO_train2014_000000005018.jpg,1.015208139,0.985019684,,1.080921495,0.925136566,,1.0409066,0.960700989,,,
COCO_train2014_000000005028.jpg,1.001218371,0.998783112,,1.05263496,0.949996948,,1.054447162,0.948364258,,,
COCO_train2014_000000005086.jpg,1.005650801,0.994380951,,1.000171691,0.999828339,,1.043413192,0.958393097,,,
COCO_train2014_000000005115.jpg,1.017837313,0.982475281,,1.104396623,0.905471802,,1.018873791,0.98147583,,,
COCO_train2014_000000005156.jpg,1.00239755,0.997608185,,1.018410676,0.98192215,,1.026968581,0.973739624,,,
COCO_train2014_000000005169.jpg,1.002048867,0.997955322,,1.001646842,0.998355865,,1,1,,,
COCO_train2014_000000005198.jpg,1,1,,1,1,,1.000110638,0.999889374,,,
COCO_train2014_000000005288.jpg,1.000561075,0.99943924,,1.026968581,0.973739624,,1.021100235,0.979335785,,,
COCO_train2014_000000005383.jpg,1.039775342,0.961746216,,1.406653788,0.710906982,,1.017434369,0.98286438,,,
COCO_train2014_000000005424.jpg,1.003902346,0.996112823,,1.02505709,0.97555542,,1.045627331,0.956363678,,,
COCO_train2014_000000005472.jpg,1.018426502,0.981906891,,1.027069172,0.973644257,,1.018517511,0.981819153,,,
COCO_train2014_000000005508.jpg,1,1,,1.04781738,0.954364777,,1.046386958,0.955669403,,,
COCO_train2014_000000005574.jpg,1.01413202,0.986064911,,1.083127776,0.923252106,,1.134812686,0.881202698,,,
COCO_train2014_000000005589.jpg,1.003667884,0.99634552,,1.069914372,0.934654236,,1.045410497,0.956562042,,,
COCO_train2014_000000005632.jpg,1.009710234,0.990383148,,1.025169334,0.975448608,,1.023960002,0.976600647,,,
COCO_train2014_000000005638.jpg,1.002332393,0.997673035,,1.031920798,0.96906662,,1.06871922,0.935699463,,,
COCO_train2014_000000005643.jpg,1.007169257,0.992881775,,1.000080115,0.999919891,,1.032010173,0.968982697,,,
COCO_train2014_000000005649.jpg,1.021072394,0.979362488,,1.038391457,0.963027954,,1.147343957,0.871578217,,,
COCO_train2014_000000005688.jpg,1.013128655,0.987041473,,1.169220888,0.855270386,,1.065890322,0.938182831,,,
COCO_train2014_000000005862.jpg,1.008626328,0.991447449,,1.001096018,0.998905182,,1.080983897,0.92508316,,,
COCO_train2014_000000005917.jpg,1.025598491,0.975040436,,1.104866751,0.905086517,,1.000190771,0.999809265,,,
COCO_train2014_000000006004.jpg,1.023580172,0.976963043,,1.039124127,0.962348938,,1.027632843,0.973110199,,,
COCO_train2014_000000006233.jpg,1.022490229,0.978004456,,1.053917253,0.948841095,,1.095264954,0.913021088,,,
COCO_train2014_000000006327.jpg,1.001336929,0.998664856,,1.108309446,0.902275085,,1.090726016,0.916820526,,,
COCO_train2014_000000006465.jpg,1.013653606,0.986530304,,1.090272377,0.917201996,,1.271833685,0.786266327,,,
COCO_train2014_000000006572.jpg,1.008261666,0.99180603,,1.098353375,0.910453796,,1.042541768,0.959194183,,,
COCO_train2014_000000006590.jpg,1.000442701,0.999557495,,1.000228934,0.999771118,,1.075153802,0.930099487,,,
COCO_train2014_000000006595.jpg,1.066172104,0.937934875,,1.20225827,0.831768036,,1.109716966,0.901130676,,,
COCO_train2014_000000006709.jpg,1.010430238,0.989677429,,1.085855594,0.92093277,,1.126856465,0.887424469,,,
COCO_train2014_000000006710.jpg,1.000099192,0.999900818,,1,1,,1,1,,,
COCO_train2014_000000006725.jpg,1.028903368,0.971908569,,1.2998919,0.769294739,,1.095063642,0.913188934,,,
COCO_train2014_000000006730.jpg,1.006171892,0.993865967,,1,1,,1.00319929,0.996810913,,,
COCO_train2014_000000006747.jpg,1.003725528,0.9962883,,1.051967543,0.95059967,,1.042123173,0.959579468,,,
COCO_train2014_000000006842.jpg,1.016609724,0.983661652,,1.025273582,0.975349426,,1.043625043,0.958198547,,,
COCO_train2014_000000007090.jpg,1.011400947,0.98872757,,1.176182379,0.850208282,,1.037565356,0.963794708,,,
COCO_train2014_000000007150.jpg,1.005380819,0.99464798,,1.067461529,0.93680191,,1.032782687,0.968257904,,,
COCO_train2014_000000007220.jpg,1.013156064,0.987014771,,1.088551983,0.918651581,,1.052115316,0.950466156,,,
COCO_train2014_000000007221.jpg,1.066367272,0.937763214,,1.205027075,0.829856873,,1.12470986,0.889118195,,,
COCO_train2014_000000007318.jpg,1.004210002,0.995807648,,1.107906615,0.902603149,,1.069656796,0.934879303,,,
COCO_train2014_000000007367.jpg,1.022398509,0.978092194,,1.039301275,0.962184906,,1.01928184,0.981082916,,,
COCO_train2014_000000007539.jpg,1.020722524,0.979698181,,1.140133261,0.877090454,,1.065136746,0.938846588,,,
COCO_train2014_000000007650.jpg,1.005500364,0.994529724,,1.097020422,0.911560059,,1.129716778,0.885177612,,,
COCO_train2014_000000007685.jpg,1.00234389,0.997661591,,1.013167811,0.987003326,,1.026739308,0.973957062,,,
COCO_train2014_000000007713.jpg,1.001413433,0.998588562,,1.049806373,0.95255661,,1.158509261,0.863178253,,,
COCO_train2014_000000007781.jpg,1.014862275,0.985355377,,1.082099441,0.924129486,,1.06994494,0.934627533,,,
COCO_train2014_000000007890.jpg,1.00074824,0.999252319,,1.124589236,0.889213562,,1.066224142,0.937889099,,,
COCO_train2014_000000007946.jpg,1.006345709,0.993694305,,1.004129224,0.995887756,,1.002393717,0.997612,,,
COCO_train2014_000000008014.jpg,1.011896766,0.988243103,,1.015314303,0.984916687,,1.070757819,0.933917999,,,
COCO_train2014_000000008064.jpg,1.013798651,0.98638916,,1.126028762,0.888076782,,1.020507949,0.979904175,,,
COCO_train2014_000000008321.jpg,1.046808986,0.955284119,,1.026823765,0.973876953,,1.032123944,0.968875885,,,
COCO_train2014_000000008356.jpg,1.00589005,0.99414444,,1.023804038,0.97674942,,1.026204737,0.974464417,,,
COCO_train2014_000000008422.jpg,1.003483467,0.996528625,,1.046533167,0.955535889,,1.102130737,0.907333374,,,
COCO_train2014_000000008553.jpg,1.021076371,0.979358673,,1.039284794,0.962200165,,1.046098838,0.955932617,,,
COCO_train2014_000000008559.jpg,1,1,,1.072163599,0.932693481,,1.042558353,0.959178925,,,
COCO_train2014_000000008587.jpg,1.003437373,0.996574402,,1.056814929,0.946239471,,1.054141869,0.948638916,,,
COCO_train2014_000000008733.jpg,1.013226552,0.986946106,,1.053561453,0.94916153,,1.053159349,0.949523926,,,
COCO_train2014_000000008734.jpg,1.009861933,0.990234375,,1.080231092,0.925727844,,1.112146281,0.899162292,,,
COCO_train2014_000000008776.jpg,1.015829713,0.984416962,,1.089755688,0.917636871,,1,1,,,
